"AA",34.755,"2/15/2007 1:13pm",+0.185,34.45,35.09,34.04,8179800
"AIG",69.05,"2/15/2007 1:13pm",-0.21,69.13,69.33,68.92,3588000
"AXP",58.85,"2/15/2007 1:13pm",+0.16,58.52,59.12,58.52,2941200
"BA",91.29,"2/15/2007 1:13pm",+1.35,90.02,91.45,89.86,3061700
"C",54.11,"2/15/2007 1:13pm",-0.07,54.20,54.52,54.04,7053300
"CAT",67.42,"2/15/2007 1:13pm",+1.26,68.00,68.20,67.00,6436700
"DD",51.77,"2/15/2007 1:12pm",-0.02,52.02,52.17,51.61,2473200
"DIS",34.37,"2/15/2007 1:13pm",-0.38,34.70,34.73,34.17,6131800
"GE",36.12,"2/15/2007 1:13pm",-0.35,36.36,36.47,36.08,19431200
"GM",36.54,"2/15/2007 1:13pm",+0.04,36.45,36.70,36.42,3562000
"HD",41.7625,"2/15/2007 1:12pm",+0.0325,41.57,41.82,41.32,5057200
"HON",47.31,"2/15/2007 1:13pm",-0.23,47.38,47.57,47.15,1614600
"HPQ",42.63,"2/15/2007 1:13pm",-0.20,42.72,42.98,42.63,5216600
"IBM",98.70,"2/15/2007 1:12pm",-0.50,99.06,99.52,98.55,2775200
"INTC",21.22,"2/15/2007 1:18pm",+0.08,21.15,21.28,21.13,25398810
"JNJ",65.87,"2/15/2007 1:12pm",+0.02,65.75,65.93,65.59,4613900
"JPM",51.2425,"2/15/2007 1:13pm",-0.1775,51.05,51.45,50.89,5804900
"KO",47.70,"2/15/2007 1:12pm",-0.18,47.99,48.10,47.69,6180800
"MCD",44.97,"2/15/2007 1:13pm",-0.05,44.90,45.24,44.84,2279400
"MMM",76.99,"2/15/2007 1:12pm",+0.15,76.90,77.38,76.60,1819200
"MO",86.33,"2/15/2007 1:13pm",-0.06,86.38,86.61,85.90,5085500
"MRK",43.98,"2/15/2007 1:13pm",-0.08,43.91,44.06,43.70,5499600
"MSFT",29.50,"2/15/2007 1:18pm",+0.10,29.55,29.65,29.22,33560096
"PFE",26.45,"2/15/2007 1:13pm",-0.13,26.58,26.58,26.35,18661200
"PG",65.03,"2/15/2007 1:13pm",+0.15,64.80,65.40,64.80,3190800
"T",37.20,"2/15/2007 1:13pm",+0.01,37.31,37.37,37.03,8071900
"UTX",69.22,"2/15/2007 1:13pm",+1.05,68.51,69.35,68.26,3264400
"VZ",38.53,"2/15/2007 1:12pm",-0.10,38.53,38.68,38.45,3776700
"WMT",48.45,"2/15/2007 1:13pm",+0.58,47.90,48.54,47.82,5949400
"XOM",75.06,"2/15/2007 1:13pm",-0.54,75.19,75.49,74.72,9401900

